Feature,Normalized.Dispersion
ENSG00000238009,nan
ENSG00000241599,nan
ENSG00000237491,0.31903879119032647
ENSG00000177757,1.493225601818116
ENSG00000225880,-0.1645952259969607
ENSG00000230368,0.9255716764137757
ENSG00000230699,0.6196653910725086
ENSG00000241180,1.7405631276788605
ENSG00000223764,-0.05817938120710071
ENSG00000187634,0.34371614551173363
ENSG00000188976,-0.1997532791167706
ENSG00000187961,0.8572667767808444
ENSG00000187583,0.74384442838207
ENSG00000187642,0.5227065487042195
ENSG00000272512,0.3742718496792786
ENSG00000188290,4.953671269151105
ENSG00000187608,16.581739058768765
ENSG00000188157,1.563657775751357
ENSG00000237330,-0.36226443352970783
ENSG00000131591,0.25489228483053106
ENSG00000272141,7.243154727195798
ENSG00000162571,0.7578667171273413
ENSG00000186891,-0.41835839390604856
ENSG00000186827,2.793468408138697
ENSG00000078808,1.1425639717657878
ENSG00000176022,1.419092895261167
ENSG00000184163,3.013684492709714
ENSG00000260179,nan
ENSG00000160087,-0.3051556080747714
ENSG00000162572,2.7496867869683435
ENSG00000131584,-0.6229401890944858
ENSG00000169972,-0.4421614609263723
ENSG00000127054,-1.1166582417924773
ENSG00000224051,-2.448760803649712
ENSG00000169962,nan
ENSG00000107404,0.09112320048707227
ENSG00000162576,1.2879576506629242
ENSG00000175756,-0.8331065539704166
ENSG00000221978,2.7134701070653864
ENSG00000242485,-0.9029931642377474
ENSG00000272455,0.2003569555296816
ENSG00000235098,-0.6074580399037671
ENSG00000179403,2.0992854240041385
ENSG00000215915,-0.14716048917293026
ENSG00000160072,-1.1475879209609434
ENSG00000197785,1.4842517882826947
ENSG00000205090,-0.20251415800553013
ENSG00000160075,-1.2924629659253144
ENSG00000215014,2.489908093088749
ENSG00000228594,0.41379940174781665
ENSG00000272106,0.24215839720584117
ENSG00000197530,-0.9370071397411552
ENSG00000189409,-0.2281761661288781
ENSG00000248333,-0.28145584863967993
ENSG00000272004,2.4853162313020767
ENSG00000189339,4.097057431046321
ENSG00000008128,0.871966834312629
ENSG00000215790,1.5805989473079334
ENSG00000008130,1.4434282177887716
ENSG00000078369,-0.06837554733156702
ENSG00000231050,1.0000578387098056
ENSG00000178821,-0.0607059003312284
ENSG00000142609,2.2375579511990358
ENSG00000187730,1.959881195950573
ENSG00000226969,11.198835811410769
ENSG00000067606,1.2578235509773925
ENSG00000271806,0.5397425149981095
ENSG00000182873,-0.7264878056517028
ENSG00000162585,1.2463791879072252
ENSG00000234396,0.8557788557913986
ENSG00000157933,-0.9623459879526631
ENSG00000116151,1.04781090292627
ENSG00000157916,0.04530700131541861
ENSG00000157911,0.49225051120831237
ENSG00000149527,1.628938684290577
ENSG00000157881,0.2738687163889126
ENSG00000197921,0.08040782953779482
ENSG00000272449,3.1064056242370737
ENSG00000238164,0.41028244402737546
ENSG00000157873,1.666914353985429
ENSG00000228037,nan
ENSG00000157870,1.4447864241441006
ENSG00000142606,-0.3788651149267053
ENSG00000215912,0.7604080557601174
ENSG00000177133,0.6727383567204379
ENSG00000142611,0.44806569788974865
ENSG00000226286,-0.69982166205696
ENSG00000272235,1.3158764922463937
ENSG00000130762,1.4237589476916537
ENSG00000272088,-0.16432388380737695
ENSG00000162591,0.086274243618117
ENSG00000238260,1.798089031595136
ENSG00000158109,-0.8812765487143779
ENSG00000116213,0.16872341762605744
ENSG00000078900,0.031236567002978072
ENSG00000235169,-1.0181771158560013
ENSG00000130764,-0.9743138481272738
ENSG00000116198,-1.1257789625775048
ENSG00000169598,1.4451878073571192
ENSG00000198912,-1.047816730608944
ENSG00000236423,0.6975605284225609
ENSG00000284668,-1.8252558997930466
ENSG00000284703,nan
ENSG00000235054,nan
ENSG00000196581,-2.8139988514226872
ENSG00000131697,-0.08217093228822943
ENSG00000069424,0.6734733613794722
ENSG00000116254,-0.39193649719830986
ENSG00000116251,-1.6655132029240438
ENSG00000226944,4.71021626573049
ENSG00000158286,2.5153813574138644
ENSG00000116237,-0.6328327035377513
ENSG00000225077,0.6538339079027878
ENSG00000158292,-0.40274332907846466
ENSG00000097021,-0.1786519605935907
ENSG00000271746,2.2704530029494157
ENSG00000069812,0.7194268883198193
ENSG00000187017,-0.43312919498084795
ENSG00000215788,0.19099186005025234
ENSG00000171680,-0.44861624392192406
ENSG00000162408,-0.38209248979326255
ENSG00000173662,nan
ENSG00000204859,0.6044889669732975
ENSG00000162413,-1.1927738479025514
ENSG00000116273,-1.429100694009143
ENSG00000041988,0.6393333298559447
ENSG00000007923,0.27631190924736915
ENSG00000237436,4.381606566473557
ENSG00000171735,-0.4808035102458398
ENSG00000270171,nan
ENSG00000270035,2.261326970727345
ENSG00000269978,4.3613421978232525
ENSG00000049245,0.751380903263259
ENSG00000049246,1.5340328842815965
ENSG00000236266,nan
ENSG00000049247,0.7347232834302252
ENSG00000049249,-0.580559305491004
ENSG00000116288,0.015966274537914726
ENSG00000284747,-0.47496465635859064
ENSG00000284716,-0.8425992066625723
ENSG00000116285,1.9863148895275944
ENSG00000238290,-0.8776041304783261
ENSG00000162426,nan
ENSG00000142599,1.407143876619431
ENSG00000074800,-1.0103332694433267
ENSG00000230679,5.212312144539489
ENSG00000142583,nan
